PERSONID,GTCBSA,HRHHID,HEHOUSUT,HRHTYPE,HEFAMINC,HRNUMHOU
5478,38060,384458000000000.0,1,1,5,4
5482,38060,401510000000000.0,1,1,15,2
5485,38060,407220000000000.0,1,1,16,4
5489,38060,407311000000000.0,5,1,9,2
5498,38060,410405000000000.0,1,1,6,2
5501,38060,411220000000000.0,1,1,12,3
5504,38060,412510000000000.0,1,7,12,1
5506,38060,416054000000000.0,1,6,10,1
5507,38060,417771000000000.0,1,7,13,1
5508,38060,417991000000000.0,1,4,11,2
5510,38060,418220000000000.0,1,4,6,4
5514,38060,420661000000000.0,1,6,2,1
5515,38060,425060000000000.0,1,6,3,2
5517,38060,428920000000000.0,1,1,13,2
5523,38060,431149000000000.0,1,1,15,2
5525,38060,431349000000000.0,1,6,13,2
5527,38060,431649000000000.0,1,1,16,2
5537,38060,432991000000000.0,1,6,10,1
5539,38060,434695000000000.0,1,6,8,1
5541,38060,437771000000000.0,1,1,15,3
5544,38060,438510000000000.0,1,7,12,1
5549,38060,444220000000000.0,1,1,14,2
5551,38060,444968000000000.0,1,7,1,1
5552,38060,445941000000000.0,1,7,10,2
5555,38060,447661000000000.0,1,4,1,4
5566,38060,451341000000000.0,1,1,12,2
5568,38060,451446000000000.0,1,6,7,1
5573,38060,451510000000000.0,1,1,13,3
5576,38060,451541000000000.0,1,1,11,4
5581,38060,451646000000000.0,1,6,15,1
5582,38060,451846000000000.0,1,7,7,2
5584,38060,451941000000000.0,1,1,11,2
5589,38060,452661000000000.0,1,7,11,1
5590,38060,453311000000000.0,1,1,4,4
5598,38060,459771000000000.0,1,6,11,1
5599,38060,459920000000000.0,1,7,12,2
5602,38060,462941000000000.0,1,6,6,1
5603,38060,463771000000000.0,1,4,14,3
5610,38060,466991000000000.0,1,6,14,1
5613,38060,467661000000000.0,1,6,11,1
5615,38060,470771000000000.0,1,1,15,4
5621,38060,479064000000000.0,1,1,10,2
5623,38060,481042000000000.0,1,1,15,2
5625,38060,481142000000000.0,1,3,1,3
5628,38060,481311000000000.0,1,7,7,1
5629,38060,481442000000000.0,1,3,12,4
5633,38060,481542000000000.0,1,4,15,5
5638,38060,481742000000000.0,1,7,7,1
5641,38060,482740000000000.0,1,1,10,2
5643,38060,483920000000000.0,1,1,16,4
5648,38060,487220000000000.0,1,4,12,2
5650,38060,487661000000000.0,1,6,4,1
5651,38060,488941000000000.0,1,4,14,2
5653,38060,490920000000000.0,1,1,13,2
5655,38060,495510000000000.0,5,4,5,2
5657,38060,496220000000000.0,1,1,15,2
5664,38060,507058000000000.0,1,1,12,2
5674,38060,507068000000000.0,1,1,16,2
5679,38060,510407000000000.0,1,6,14,2
5682,38060,514299000000000.0,1,1,15,2
5684,38060,516054000000000.0,1,4,4,2
5686,38060,516055000000000.0,1,6,14,1
5692,38060,519015000000000.0,1,1,15,4
5696,38060,529034000000000.0,1,1,13,4
5700,38060,530074000000000.0,1,6,4,2
5703,38060,530075000000000.0,1,7,2,1
5704,38060,534408000000000.0,1,6,11,2
5707,38060,540415000000000.0,1,4,9,3
5725,38060,540495000000000.0,1,6,3,1
5729,38060,544726000000000.0,1,1,13,5
5734,38060,544963000000000.0,1,1,11,4
5738,38060,547074000000000.0,1,7,16,1
5741,38060,552084000000000.0,1,4,5,6
5756,38060,567015000000000.0,1,7,11,1
5757,38060,575015000000000.0,1,1,12,2
5759,38060,579065000000000.0,1,6,8,1
5765,38060,584451000000000.0,1,7,3,1
5767,38060,601065000000000.0,1,6,1,1
5773,38060,604572000000000.0,1,6,7,1
5777,38060,610001000000000.0,1,1,11,3
5782,38060,610401000000000.0,1,1,8,6
5788,38060,610501000000000.0,1,1,14,3
5792,38060,610601000000000.0,1,1,12,5
5799,38060,611844000000000.0,1,7,16,1
5803,38060,616054000000000.0,1,6,1,1
5804,38060,616055000000000.0,1,4,8,3
5813,38060,629034000000000.0,1,1,14,2
5816,38060,634409000000000.0,1,6,3,1
5819,38060,640123000000000.0,1,6,14,1
5832,38060,647074000000000.0,1,1,14,4
5836,38060,647075000000000.0,1,1,14,4
5841,38060,652084000000000.0,1,1,16,4
5847,38060,693054000000000.0,1,1,6,2
5858,38060,704041000000000.0,1,1,4,3
5864,38060,706006000000000.0,1,4,8,2
5868,38060,706066000000000.0,1,1,15,2
5870,38060,710002000000000.0,1,6,9,2
5872,38060,710005000000000.0,1,4,4,5
5879,38060,710502000000000.0,1,7,6,2
5882,38060,710505000000000.0,1,1,12,5
5887,38060,710602000000000.0,5,7,7,1
5888,38060,710605000000000.0,1,1,8,4
5893,38060,716054000000000.0,1,6,2,1
5895,38060,719015000000000.0,5,1,15,2
5904,38060,740341000000000.0,1,1,11,2
5915,38060,744726000000000.0,1,6,7,3
5922,38060,793055000000000.0,1,6,13,1
5924,38060,811141000000000.0,1,7,3,1
5925,38060,811241000000000.0,1,6,8,1
5926,38060,811341000000000.0,1,7,13,1
5927,38060,811941000000000.0,5,4,5,2
5929,38060,814293000000000.0,1,1,16,6
5938,38060,834698000000000.0,1,7,10,1
5942,38060,840473000000000.0,1,4,8,3
5952,38060,844131000000000.0,1,1,15,4
5956,38060,844727000000000.0,1,6,8,2
5959,38060,901043000000000.0,1,1,12,3
5962,38060,901053000000000.0,1,4,7,4
5968,38060,901063000000000.0,1,1,16,2
5970,38060,901073000000000.0,1,6,5,1
5972,38060,902054000000000.0,1,4,4,3
5980,38060,902074000000000.0,1,7,1,1
5991,38060,907052000000000.0,1,1,15,2
5997,38060,910001000000000.0,1,7,16,1
6003,38060,910501000000000.0,1,3,4,4
6012,38060,910701000000000.0,1,3,12,2
6014,38060,914290000000000.0,1,7,11,1
6016,38060,944138000000000.0,1,6,13,1
7407,30780,18170510465.0,1,4,12,2
7432,30780,510501000000.0,1,1,15,4
7441,30780,510623000000.0,1,1,13,2
7456,30780,510808000000.0,1,6,6,1
7457,30780,510823000000.0,1,1,10,2
7459,30780,510838000000.0,1,7,3,1
7461,30780,510923000000.0,1,4,4,2
7469,30780,511209000000.0,1,6,11,1
7470,30780,511223000000.0,1,6,6,2
7489,30780,2003200000000.0,5,3,11,5
7495,30780,2009010000000.0,1,1,8,6
7501,30780,2013190000000.0,1,1,8,6
7520,30780,3740220000000.0,1,6,15,2
7523,30780,3990220000000.0,1,1,13,4
7527,30780,5640700000000.0,1,1,8,3
7537,30780,7850510000000.0,1,4,10,3
7554,30780,8850310000000.0,1,6,11,1
7556,30780,9630010000000.0,5,1,4,4
7562,30780,10005800000000.0,1,4,14,3
7568,30780,10105800000000.0,1,7,14,2
7572,30780,13240200000000.0,1,1,14,2
7574,30780,13290200000000.0,1,7,13,1
7579,30780,20015400000000.0,1,6,11,1
7596,30780,50984100000000.0,1,7,15,1
7597,30780,55025700000000.0,1,6,14,1
7627,30780,82055900000000.0,1,7,4,1
7660,30780,123870000000000.0,1,1,14,5
7678,30780,135800000000000.0,1,7,11,1
7683,30780,150313000000000.0,1,4,1,5
7714,30780,172580000000000.0,1,7,8,1
7717,30780,174630000000000.0,1,6,10,1
7723,30780,181036000000000.0,1,6,15,1
7730,30780,191230000000000.0,1,6,9,1
7732,30780,192096000000000.0,1,1,16,2
7740,30780,208005000000000.0,1,7,8,1
7744,30780,209010000000000.0,1,6,5,1
7746,30780,210001000000000.0,5,1,1,3
7753,30780,210009000000000.0,1,1,10,2
7755,30780,210101000000000.0,1,1,7,2
7759,30780,250528000000000.0,1,6,8,2
7778,30780,311959000000000.0,1,1,15,6
7837,30780,451953000000000.0,1,4,10,3
7842,30780,455033000000000.0,1,1,16,2
7848,30780,495127000000000.0,1,7,1,1
7849,30780,500470000000000.0,1,4,4,2
7866,30780,510003000000000.0,1,6,8,1
7890,30780,521757000000000.0,1,1,16,2
7908,30780,542381000000000.0,1,7,5,2
7912,30780,547230000000000.0,1,7,8,1
7919,30780,550430000000000.0,1,7,4,1
7934,30780,572071000000000.0,1,6,13,1
7943,30780,585121000000000.0,1,1,15,2
7948,30780,591090000000000.0,1,1,15,4
8007,30780,755260000000000.0,1,7,1,1
8011,30780,785503000000000.0,1,6,5,1
8012,30780,785811000000000.0,1,7,8,1
8020,30780,810003000000000.0,1,6,1,1
8028,30780,811757000000000.0,1,4,5,2
8033,30780,831752000000000.0,1,4,12,4
8037,30780,831852000000000.0,1,1,4,2
8068,30780,910002000000000.0,1,1,10,2
8072,30780,910102000000000.0,1,1,16,2
8075,30780,935102000000000.0,1,1,12,2
8077,30780,945328000000000.0,1,1,14,2
8087,30780,950913000000000.0,1,4,9,2
8094,30780,991453000000000.0,1,7,1,1
10187,31080,313817000000.0,1,1,14,4
10210,40900,610659000000.0,1,7,14,1
10212,46700,610695000000.0,1,1,15,6
10227,37100,610860000000.0,1,1,16,6
10238,37100,610969000000.0,1,1,16,4
10254,41940,611200000000.0,1,1,16,4
10283,40900,611285000000.0,1,1,8,4
10290,41940,611329000000.0,1,1,16,4
10298,41940,611422000000.0,1,6,5,1
10300,41940,611468000000.0,1,1,13,2
10303,40900,611509000000.0,1,1,12,5
10311,40900,611568000000.0,1,4,15,2
10313,40900,611609000000.0,1,3,10,4
10317,41940,611666000000.0,1,7,1,1
10321,41940,611722000000.0,1,1,16,3
10325,40900,611763000000.0,1,1,16,2
10327,41940,611766000000.0,1,6,4,1
10330,40900,611809000000.0,1,6,8,2
10332,41940,611866000000.0,1,1,16,4
10336,41940,611876000000.0,1,6,16,7
10343,41940,611883000000.0,1,1,16,5
10350,40140,611923000000.0,1,6,12,2
10352,41940,611929000000.0,1,1,16,6
10358,41860,611930000000.0,1,1,16,2
10361,41940,612029000000.0,1,4,5,3
10366,40140,612040000000.0,1,4,10,2
10368,41940,612086000000.0,1,6,13,1
10369,41860,612105000000.0,1,7,6,2
10371,40140,612123000000.0,1,1,14,4
10376,40140,612127000000.0,1,4,11,4
10380,41860,612130000000.0,1,4,11,2
10391,41860,612262000000.0,1,7,14,1
10393,31080,612274000000.0,1,1,13,2
10395,41860,612304000000.0,1,1,13,2
10397,41860,612305000000.0,1,7,9,2
10399,41860,612314000000.0,1,6,2,1
10400,31080,612347000000.0,1,7,14,1
10401,41860,612348000000.0,1,7,16,1
10404,41860,612404000000.0,1,1,15,4
10408,41860,612467000000.0,1,1,15,6
10414,41860,612491000000.0,1,1,6,2
10418,41740,612547000000.0,1,3,16,7
10425,31080,612574000000.0,1,6,14,2
10428,41740,612586000000.0,1,2,11,7
10435,40140,612636000000.0,1,1,16,4
10440,41740,612647000000.0,1,4,15,3
10445,31080,612725000000.0,1,3,13,2
10447,41740,612747000000.0,1,6,9,1
10448,31080,612784000000.0,1,1,9,6
10454,40140,612812000000.0,1,4,9,2
10456,41860,612816000000.0,1,1,16,2
10458,31080,612864000000.0,1,7,13,1
10460,41740,612892000000.0,1,1,15,2
10463,41740,612940000000.0,1,1,9,2
10465,40140,612961000000.0,1,4,13,3
10468,41860,612980000000.0,1,1,12,3
10472,31080,612991000000.0,1,6,16,3
10477,41740,612992000000.0,1,1,16,4
10481,41740,613014000000.0,1,4,1,2
10484,41740,613055000000.0,1,1,14,4
10490,31080,613125000000.0,1,1,16,2
10496,41740,613140000000.0,1,1,16,3
10499,40140,613161000000.0,1,6,15,2
10501,31080,613184000000.0,1,1,16,5
10506,41860,613205000000.0,1,6,9,1
10507,41860,613262000000.0,1,1,6,6
10513,40140,613269000000.0,1,6,7,1
10514,31080,613274000000.0,1,4,4,2
10516,41860,613288000000.0,1,1,6,6
10522,41860,613304000000.0,1,1,16,2
10525,41860,613321000000.0,1,6,16,1
10527,31080,613391000000.0,1,1,14,3
10530,41740,613392000000.0,1,4,12,3
10533,31080,613407000000.0,1,6,14,1
10535,41740,613455000000.0,1,7,14,2
10537,31080,613491000000.0,1,7,12,2
10539,41740,613541000000.0,1,1,5,5
10544,41740,613641000000.0,1,3,14,3
10547,41740,613740000000.0,1,4,13,2
10549,41740,613847000000.0,1,6,13,2
10551,41740,614040000000.0,1,6,13,1
10554,41940,620083000000.0,7,6,11,1
10558,31080,713817000000.0,1,7,15,2
10568,31080,1067010000000.0,1,6,16,2
10571,31080,1267030000000.0,1,7,11,1
10572,31080,1267100000000.0,1,4,13,5
10577,31080,1364040000000.0,1,1,9,5
10582,31080,1367010000000.0,1,6,13,1
10583,31080,1367100000000.0,1,6,1,2
10585,31080,1442220000000.0,1,1,11,5
10590,31080,1543220000000.0,1,1,12,4
10594,31080,1567010000000.0,1,4,1,2
10597,31080,1767030000000.0,1,4,7,2
10599,31080,1843220000000.0,1,6,1,1
10600,31080,1867030000000.0,1,4,2,3
10603,31080,1967030000000.0,1,7,11,1
10608,41940,2070820000000.0,7,6,1,1
10611,31080,2623820000000.0,1,1,15,3
10615,31080,2822820000000.0,1,1,9,2
10617,31080,2923820000000.0,1,6,15,1
10618,31080,3153820000000.0,1,7,3,1
10622,31080,3353820000000.0,1,1,10,2
10624,31080,3553820000000.0,1,4,10,2
10627,31080,3753820000000.0,1,1,14,2
10629,41860,4025760000000.0,1,7,11,1
10634,31080,4813610000000.0,1,7,13,1
10635,31080,4833210000000.0,1,4,13,3
10638,40900,5017790000000.0,1,6,14,1
10668,41940,6014400000000.0,1,7,6,1
10673,31080,6523720000000.0,1,1,1,3
10679,31080,7003910000000.0,1,1,12,3
10682,31080,7093520000000.0,1,4,14,4
10702,41860,8028840000000.0,1,1,16,4
10732,31080,9053410000000.0,1,1,12,2
10741,37100,9710610000000.0,1,1,15,5
10746,31080,9952410000000.0,1,3,10,4
10774,31080,10200900000000.0,1,1,12,2
10777,31080,10203000000000.0,1,1,15,5
10784,31080,10212800000000.0,1,7,4,1
10785,41940,10240000000000.0,1,1,16,2
10787,31080,10300900000000.0,1,6,9,1
10791,31080,10303000000000.0,1,7,2,1
10793,41740,10306400000000.0,1,4,12,3
10801,41940,10510400000000.0,1,1,16,3
10804,41940,10810400000000.0,1,1,14,5
10810,41860,10960300000000.0,1,1,10,4
10816,31080,11242200000000.0,1,1,16,5
10826,31080,12122800000000.0,1,1,15,4
10836,41940,12780200000000.0,1,1,16,2
10838,41940,12980200000000.0,1,1,16,4
10843,31080,13252800000000.0,1,1,16,2
10845,40900,13700600000000.0,1,1,12,2
10847,41940,13970800000000.0,1,4,16,2
10849,40140,13990200000000.0,1,4,1,9
10860,31080,14032200000000.0,1,6,8,1
10861,40900,14076700000000.0,1,1,10,3
10867,31080,14212600000000.0,1,1,9,2
10871,31080,14412600000000.0,1,3,10,2
10873,31080,14712600000000.0,1,6,5,3
10877,31080,14912600000000.0,1,6,12,2
10885,41940,15720600000000.0,1,7,12,1
10886,41940,15820600000000.0,1,1,16,4
10890,31080,16022700000000.0,1,7,16,1
10899,41940,16800700000000.0,1,1,8,3
10902,31080,16866400000000.0,1,4,2,6
10910,40900,17230600000000.0,1,1,15,3
10917,41940,17340600000000.0,1,1,16,3
10920,41940,17440600000000.0,1,7,8,1
10921,31080,17502900000000.0,1,1,6,5
10926,40900,17530600000000.0,1,4,11,2
10930,41940,17940600000000.0,1,6,14,2
10932,41940,18450200000000.0,1,1,12,2
10934,40900,18570000000000.0,1,3,15,2
10937,40900,18830400000000.0,1,4,6,4
10941,40900,18870000000000.0,1,7,4,1
10949,41860,20160300000000.0,1,1,15,5
10956,41860,20410900000000.0,1,3,15,5
10962,31080,20412800000000.0,1,1,6,2
10967,41740,20920400000000.0,1,1,14,2
10969,41860,20960300000000.0,1,1,11,3
10977,31080,21142200000000.0,1,3,11,3
10980,41860,21260600000000.0,1,6,13,1
10984,31080,21266000000000.0,1,7,3,1
10985,31080,21342200000000.0,1,1,13,2
10987,31080,21642200000000.0,1,4,5,2
10989,31080,21766000000000.0,1,6,11,1
10990,40140,21980600000000.0,1,7,11,1
10991,31080,21990900000000.0,1,4,12,2
10998,31080,22016100000000.0,1,1,10,3
11001,31080,22016200000000.0,1,1,7,4
11005,31080,22016400000000.0,1,1,16,2
11007,31080,22016800000000.0,1,4,1,2
11009,31080,22016900000000.0,1,1,8,2
11013,31080,22822800000000.0,1,7,7,1
11014,41740,22830900000000.0,1,4,8,2
11016,40140,22890100000000.0,1,1,13,5
11021,41740,22930900000000.0,1,1,16,4
11025,41860,23240700000000.0,1,7,14,1
11026,31080,23252800000000.0,1,7,13,1
11027,31080,23710800000000.0,1,4,5,4
11031,31080,23952800000000.0,1,7,1,1
11032,31080,24112600000000.0,1,1,9,3
11035,41860,24160200000000.0,1,1,16,3
11038,41860,24180000000000.0,1,7,14,1
11043,41860,24380000000000.0,1,1,14,3
11047,31080,24412600000000.0,1,4,2,6
11053,41860,24480000000000.0,1,1,16,3
11056,31080,24712600000000.0,1,6,14,2
11058,31080,24732200000000.0,1,1,7,3
11061,31080,24800600000000.0,1,1,14,2
11066,41940,25090800000000.0,1,1,16,2
11072,41860,25350000000000.0,1,6,15,1
11075,40140,25630300000000.0,1,3,11,3
11078,40140,25740700000000.0,1,1,11,3
11081,41860,25880100000000.0,1,1,16,3
11085,40140,25950800000000.0,1,4,10,2
11087,41860,25980100000000.0,1,1,14,5
11100,31080,26380200000000.0,1,1,6,2
11102,31080,26381200000000.0,1,1,16,3
11109,41740,26550800000000.0,1,5,12,5
11112,31080,26822700000000.0,1,7,8,1
11113,41940,27040600000000.0,1,7,12,1
11114,31080,27056200000000.0,1,7,14,1
11115,31080,27056300000000.0,1,1,10,5
11120,31080,27056500000000.0,1,1,16,4
11124,31080,27056800000000.0,1,6,10,1
11128,40140,27160200000000.0,1,4,1,2
11132,41860,27390400000000.0,1,1,15,2
11135,41740,27570400000000.0,1,7,1,8
11143,41740,27670400000000.0,1,1,13,7
11151,31080,27892500000000.0,1,1,13,2
11153,41940,28050200000000.0,1,6,14,2
11155,41860,28190700000000.0,1,1,10,5
11160,41860,28210100000000.0,1,4,7,2
11168,40140,28990200000000.0,1,1,3,3
11172,46700,29076500000000.0,1,1,15,2
11174,46700,29076600000000.0,1,1,9,4
11180,41860,29430700000000.0,1,7,1,1
11181,40140,29450300000000.0,1,4,10,4
11185,41860,29930700000000.0,1,1,6,2
11187,31080,29952400000000.0,1,1,16,3
11190,41740,30020400000000.0,1,1,14,3
11193,41740,30120400000000.0,1,4,10,2
11200,41740,30510400000000.0,1,1,4,2
11202,41740,30710400000000.0,1,4,14,3
11205,41740,30720400000000.0,1,1,13,2
11207,40140,31180600000000.0,1,1,7,2
11209,41860,31190200000000.0,1,6,14,1
11212,31080,31390900000000.0,1,1,14,3
11215,31080,31490900000000.0,1,1,6,2
11217,31080,32322800000000.0,1,7,13,2
11219,41740,32330900000000.0,1,1,14,2
11221,31080,33052800000000.0,1,7,4,1
11226,31080,33952800000000.0,1,7,14,2
11228,41860,34280000000000.0,1,6,6,1
11229,41860,34380000000000.0,1,6,16,1
11230,31080,34400600000000.0,1,7,11,3
11235,31080,35160200000000.0,1,4,8,2
11237,31080,35360200000000.0,1,7,15,2
11239,41740,35460500000000.0,1,7,13,2
11241,41740,35980000000000.0,1,6,13,1
11242,31080,36122700000000.0,1,3,6,2
11244,41740,36196200000000.0,1,4,15,3
11248,41740,36230100000000.0,1,1,3,2
11250,41740,36530100000000.0,1,1,14,5
11255,31080,36829400000000.0,1,6,14,1
11257,31080,37202900000000.0,1,7,4,1
11258,41860,37290400000000.0,1,4,16,2
11260,41940,38006200000000.0,7,7,11,1
11265,40140,38220600000000.0,1,4,11,3
11270,31080,39752400000000.0,1,1,9,4
11274,41740,40020400000000.0,1,6,15,1
11275,41740,42000800000000.0,1,7,11,1
11277,31080,42066200000000.0,1,3,8,2
11284,31080,46047000000000.0,1,1,15,3
11303,41740,51162000000000.0,1,6,12,5
11308,31080,56481300000000.0,1,4,5,2
11311,40900,59006200000000.0,1,4,14,3
11318,31080,60036200000000.0,1,4,10,5
11326,31080,60081200000000.0,1,1,7,3
11340,41860,60465200000000.0,1,7,16,2
11342,40140,60474200000000.0,1,1,15,6
11354,40140,60579100000000.0,1,6,13,1
11364,41740,60719100000000.0,1,1,14,3
11369,41940,60719200000000.0,1,1,16,6
11381,41940,60719300000000.0,4,7,5,1
11383,40900,60779200000000.0,1,3,10,2
11385,40140,60842200000000.0,1,1,16,2
11388,31080,60901200000000.0,1,7,11,1
11389,40140,60942100000000.0,1,4,6,4
11403,31080,64026400000000.0,1,1,13,4
11414,46700,65076100000000.0,1,1,12,2
11420,41940,76585200000000.0,1,1,16,5
11425,37100,78056200000000.0,1,1,14,3
11428,31080,78066300000000.0,1,1,16,2
11439,31080,85096000000000.0,1,1,11,2
11441,31080,85096500000000.0,1,1,15,3
11444,31080,85096900000000.0,1,1,15,2
11447,31080,88076200000000.0,1,1,11,5
11453,31080,88096000000000.0,1,1,10,6
11462,31080,88096500000000.0,1,1,14,3
11465,37100,89066800000000.0,1,4,12,6
11476,31080,90912800000000.0,1,1,16,2
11483,31080,91642200000000.0,1,6,15,1
11484,31080,93652800000000.0,1,4,4,2
11489,31080,94532200000000.0,1,1,6,2
11491,41860,96025100000000.0,1,6,16,1
11492,37100,96076100000000.0,1,1,13,3
11495,37100,96076400000000.0,1,1,16,3
11498,31080,96095100000000.0,1,1,9,3
11501,31080,96822700000000.0,1,4,13,3
11504,31080,99006100000000.0,1,1,16,2
11507,31080,99006400000000.0,1,1,13,3
11510,31080,99006600000000.0,1,1,15,4
11516,31080,99006800000000.0,1,4,11,2
11518,41740,100034000000000.0,1,4,15,2
11528,41740,101033000000000.0,1,3,16,3
11536,41860,102670000000000.0,1,6,16,2
11538,40140,102940000000000.0,1,1,15,3
11541,41860,103022000000000.0,1,7,16,1
11542,41860,103028000000000.0,1,1,11,3
11545,41740,103160000000000.0,1,6,15,2
11556,40140,104029000000000.0,1,7,8,2
11559,41940,104660000000000.0,1,1,15,4
11572,41860,105023000000000.0,1,1,11,5
11578,41940,105100000000000.0,1,7,1,1
11580,31080,106899000000000.0,1,4,16,3
11583,41740,106980000000000.0,1,4,6,3
11587,40140,107097000000000.0,1,4,1,6
11593,31080,107800000000000.0,1,6,12,1
11610,41940,108046000000000.0,1,4,6,8
11618,40140,108720000000000.0,1,1,14,2
11623,31080,110010000000000.0,1,1,8,4
11634,41940,110103000000000.0,1,1,15,4
11644,41860,110201000000000.0,1,7,11,1
11645,31080,110205000000000.0,1,1,7,3
11648,41740,110206000000000.0,1,4,16,5
11653,40140,110220000000000.0,1,1,15,2
11656,41740,110300000000000.0,1,3,7,3
11662,41740,110306000000000.0,1,7,11,1
11668,31080,111463000000000.0,1,7,6,1
11676,31080,111563000000000.0,1,1,11,2
11684,41940,114057000000000.0,1,1,16,2
11694,31080,116460000000000.0,1,1,8,6
11703,41860,116840000000000.0,1,6,16,1
11707,31080,116869000000000.0,1,1,5,2
11722,31080,122016000000000.0,1,7,13,1
11726,41740,122520000000000.0,1,4,16,3
11742,41940,124090000000000.0,1,1,16,2
11756,31080,126371000000000.0,1,1,16,2
11758,31080,126385000000000.0,1,7,7,1
11759,31080,126386000000000.0,1,7,13,1
11772,31080,127057000000000.0,1,1,10,3
11776,31080,129850000000000.0,1,1,7,4
11802,41860,130550000000000.0,1,4,4,2
11816,31080,131590000000000.0,1,7,11,1
11821,41740,131760000000000.0,1,1,8,3
11834,31080,136150000000000.0,1,1,16,2
11839,31080,136750000000000.0,1,1,16,4
11858,31080,136820000000000.0,1,1,13,3
11861,31080,136821000000000.0,1,7,12,1
11863,31080,136827000000000.0,1,4,11,4
