person_id,age,sex,hours_a_week,occupation,marital_status,education
5833,40-50,female,30-40hr,Healthcare practitioner and technical occupations,MARRIED - SPOUSE PRESENT,"BACHELOR'S DEGREE (EX: BA, AB, BS)"
5569,40-50,male,Extreme hr,Management occupations,MARRIED - SPOUSE PRESENT,"BACHELOR'S DEGREE (EX: BA, AB, BS)"
5841,30-40,female,30-40hr,Management occupations,MARRIED - SPOUSE PRESENT,"BACHELOR'S DEGREE (EX: BA, AB, BS)"
5946,40-50,male,30-40hr,Management occupations,MARRIED - SPOUSE PRESENT,"BACHELOR'S DEGREE (EX: BA, AB, BS)"
5016,40-50,male,40-50hr,Management occupations,MARRIED - SPOUSE PRESENT,"BACHELOR'S DEGREE (EX: BA, AB, BS)"
5017,40-50,female,40-50hr,Management occupations,MARRIED - SPOUSE PRESENT,"BACHELOR'S DEGREE (EX: BA, AB, BS)"
5644,40-50,male,30-40hr,Management occupations,MARRIED - SPOUSE PRESENT,"BACHELOR'S DEGREE (EX: BA, AB, BS)"
5196,50-60,male,40-50hr,Management occupations,MARRIED - SPOUSE PRESENT,"BACHELOR'S DEGREE (EX: BA, AB, BS)"
5465,50-60,female,30-40hr,Management occupations,MARRIED - SPOUSE PRESENT,"BACHELOR'S DEGREE (EX: BA, AB, BS)"
5968,30-40,male,30-40hr,Management occupations,MARRIED - SPOUSE PRESENT,"BACHELOR'S DEGREE (EX: BA, AB, BS)"
5033,20-30,female,Little hr,Office and administrative support occupations,MARRIED - SPOUSE PRESENT,"BACHELOR'S DEGREE (EX: BA, AB, BS)"
5446,30-40,male,30-40hr,Building and grounds cleaning and maintenance occupations,MARRIED - SPOUSE PRESENT,"BACHELOR'S DEGREE (EX: BA, AB, BS)"
5466,50-60,male,30-40hr,Building and grounds cleaning and maintenance occupations,MARRIED - SPOUSE PRESENT,"BACHELOR'S DEGREE (EX: BA, AB, BS)"
5012,30-40,male,Vary hr,"Arts, design, entertainment, sports, and media occupations",MARRIED - SPOUSE PRESENT,"BACHELOR'S DEGREE (EX: BA, AB, BS)"
5675,40-50,female,40-50hr,"Arts, design, entertainment, sports, and media occupations",MARRIED - SPOUSE PRESENT,"BACHELOR'S DEGREE (EX: BA, AB, BS)"
5444,30-40,female,30-40hr,Community and social service occupations,MARRIED - SPOUSE PRESENT,"BACHELOR'S DEGREE (EX: BA, AB, BS)"
5837,30-40,female,30-40hr,Business and financial operations occupations,MARRIED - SPOUSE PRESENT,"BACHELOR'S DEGREE (EX: BA, AB, BS)"
5760,40-50,male,Extreme hr,Business and financial operations occupations,MARRIED - SPOUSE PRESENT,"BACHELOR'S DEGREE (EX: BA, AB, BS)"
5511,50-60,female,Much hr,Business and financial operations occupations,MARRIED - SPOUSE PRESENT,"BACHELOR'S DEGREE (EX: BA, AB, BS)"
5426,40-50,male,40-50hr,Sales and related occupations,MARRIED - SPOUSE PRESENT,"BACHELOR'S DEGREE (EX: BA, AB, BS)"
5527,50-60,female,30-40hr,Sales and related occupations,MARRIED - SPOUSE PRESENT,"BACHELOR'S DEGREE (EX: BA, AB, BS)"
5960,40-50,male,40-50hr,Sales and related occupations,MARRIED - SPOUSE PRESENT,"BACHELOR'S DEGREE (EX: BA, AB, BS)"
5128,30-40,male,30-40hr,Sales and related occupations,MARRIED - SPOUSE PRESENT,"BACHELOR'S DEGREE (EX: BA, AB, BS)"
5296,20-30,male,30-40hr,Sales and related occupations,MARRIED - SPOUSE PRESENT,"BACHELOR'S DEGREE (EX: BA, AB, BS)"
6008,30-40,male,40-50hr,Sales and related occupations,MARRIED - SPOUSE PRESENT,"BACHELOR'S DEGREE (EX: BA, AB, BS)"
5623,40-50,male,Much hr,Computer and mathematical science occupations,MARRIED - SPOUSE PRESENT,"BACHELOR'S DEGREE (EX: BA, AB, BS)"
5674,40-50,male,40-50hr,Computer and mathematical science occupations,MARRIED - SPOUSE PRESENT,"BACHELOR'S DEGREE (EX: BA, AB, BS)"
5945,40-50,female,Little hr,"Education, training, and library occupations",MARRIED - SPOUSE PRESENT,"BACHELOR'S DEGREE (EX: BA, AB, BS)"
5051,40-50,male,40-50hr,"Education, training, and library occupations",MARRIED - SPOUSE PRESENT,"BACHELOR'S DEGREE (EX: BA, AB, BS)"
5347,50-60,male,30-40hr,Construction and extraction occupations,MARRIED - SPOUSE PRESENT,"BACHELOR'S DEGREE (EX: BA, AB, BS)"
5443,30-40,male,Much hr,Protective service occupations,MARRIED - SPOUSE PRESENT,"BACHELOR'S DEGREE (EX: BA, AB, BS)"
5034,20-30,male,30-40hr,Architecture and engineering occupations,MARRIED - SPOUSE PRESENT,"BACHELOR'S DEGREE (EX: BA, AB, BS)"
5692,30-40,male,30-40hr,Architecture and engineering occupations,MARRIED - SPOUSE PRESENT,"BACHELOR'S DEGREE (EX: BA, AB, BS)"
5259,40-50,female,30-40hr,Healthcare practitioner and technical occupations,WIFE ISSUE,"BACHELOR'S DEGREE (EX: BA, AB, BS)"
4971,40-50,female,30-40hr,Personal care and service occupations,WIFE ISSUE,"BACHELOR'S DEGREE (EX: BA, AB, BS)"
5269,20-30,female,30-40hr,Healthcare support occupations,WIFE ISSUE,"BACHELOR'S DEGREE (EX: BA, AB, BS)"
5738,50-60,female,30-40hr,Management occupations,WIFE ISSUE,"BACHELOR'S DEGREE (EX: BA, AB, BS)"
5610,30-40,male,40-50hr,Management occupations,WIFE ISSUE,"BACHELOR'S DEGREE (EX: BA, AB, BS)"
5588,50-60,female,40-50hr,"Arts, design, entertainment, sports, and media occupations",WIFE ISSUE,"BACHELOR'S DEGREE (EX: BA, AB, BS)"
5824,70-80,female,30-40hr,"Life, physical, and social science occupations",WIFE ISSUE,"BACHELOR'S DEGREE (EX: BA, AB, BS)"
5993,60-70,female,30-40hr,Business and financial operations occupations,WIFE ISSUE,"BACHELOR'S DEGREE (EX: BA, AB, BS)"
5679,50-60,male,40-50hr,Business and financial operations occupations,WIFE ISSUE,"BACHELOR'S DEGREE (EX: BA, AB, BS)"
5951,30-40,male,Much hr,Business and financial operations occupations,WIFE ISSUE,"BACHELOR'S DEGREE (EX: BA, AB, BS)"
5819,70-80,male,10-20hr,Sales and related occupations,WIFE ISSUE,"BACHELOR'S DEGREE (EX: BA, AB, BS)"
5997,50-60,female,30-40hr,Computer and mathematical science occupations,WIFE ISSUE,"BACHELOR'S DEGREE (EX: BA, AB, BS)"
5408,30-40,female,20-30hr,Personal care and service occupations,NEVER MARRIED,"BACHELOR'S DEGREE (EX: BA, AB, BS)"
5581,40-50,male,30-40hr,Management occupations,NEVER MARRIED,"BACHELOR'S DEGREE (EX: BA, AB, BS)"
5648,30-40,female,30-40hr,Management occupations,NEVER MARRIED,"BACHELOR'S DEGREE (EX: BA, AB, BS)"
5422,30-40,male,30-40hr,Management occupations,NEVER MARRIED,"BACHELOR'S DEGREE (EX: BA, AB, BS)"
5122,30-40,male,30-40hr,"Arts, design, entertainment, sports, and media occupations",NEVER MARRIED,"BACHELOR'S DEGREE (EX: BA, AB, BS)"
5307,20-30,male,20-30hr,"Arts, design, entertainment, sports, and media occupations",NEVER MARRIED,"BACHELOR'S DEGREE (EX: BA, AB, BS)"
5065,20-30,female,30-40hr,Community and social service occupations,NEVER MARRIED,"BACHELOR'S DEGREE (EX: BA, AB, BS)"
5123,20-30,male,30-40hr,Business and financial operations occupations,NEVER MARRIED,"BACHELOR'S DEGREE (EX: BA, AB, BS)"
5361,20-30,female,30-40hr,Sales and related occupations,NEVER MARRIED,"BACHELOR'S DEGREE (EX: BA, AB, BS)"
5704,20-30,male,30-40hr,Sales and related occupations,NEVER MARRIED,"BACHELOR'S DEGREE (EX: BA, AB, BS)"
5280,20-30,male,Vary hr,Computer and mathematical science occupations,NEVER MARRIED,"BACHELOR'S DEGREE (EX: BA, AB, BS)"
5380,20-30,male,30-40hr,Computer and mathematical science occupations,NEVER MARRIED,"BACHELOR'S DEGREE (EX: BA, AB, BS)"
5544,20-30,female,40-50hr,Protective service occupations,NEVER MARRIED,"BACHELOR'S DEGREE (EX: BA, AB, BS)"
5234,80+,male,40-50hr,Management occupations,WIFE ISSUE,"BACHELOR'S DEGREE (EX: BA, AB, BS)"
5925,30-40,male,30-40hr,"Life, physical, and social science occupations",WIFE ISSUE,"BACHELOR'S DEGREE (EX: BA, AB, BS)"
5013,30-40,female,30-40hr,Healthcare support occupations,MARRIED - SPOUSE PRESENT,"DOCTORATE DEGREE (EX: PhD, EdD)"
5425,30-40,female,10-20hr,Food preparation and serving related occupations,MARRIED - SPOUSE PRESENT,"DOCTORATE DEGREE (EX: PhD, EdD)"
5300,40-50,male,30-40hr,"Education, training, and library occupations",MARRIED - SPOUSE PRESENT,"DOCTORATE DEGREE (EX: PhD, EdD)"
5301,50-60,female,30-40hr,"Education, training, and library occupations",MARRIED - SPOUSE PRESENT,"DOCTORATE DEGREE (EX: PhD, EdD)"
5611,50-60,female,30-40hr,Healthcare practitioner and technical occupations,WIFE ISSUE,"DOCTORATE DEGREE (EX: PhD, EdD)"
5258,40-50,male,Much hr,Healthcare practitioner and technical occupations,WIFE ISSUE,"DOCTORATE DEGREE (EX: PhD, EdD)"
5087,50-60,male,40-50hr,Office and administrative support occupations,NEVER MARRIED,"DOCTORATE DEGREE (EX: PhD, EdD)"
5568,30-40,male,30-40hr,Sales and related occupations,NEVER MARRIED,"DOCTORATE DEGREE (EX: PhD, EdD)"
5386,40-50,male,30-40hr,Legal occupations,MARRIED - SPOUSE PRESENT,"PROFESSIONAL SCHOOL DEG (EX: MD, DDS, DVM)"
5390,50-60,male,30-40hr,Architecture and engineering occupations,MARRIED - SPOUSE PRESENT,"PROFESSIONAL SCHOOL DEG (EX: MD, DDS, DVM)"
5570,40-50,female,30-40hr,Healthcare support occupations,MARRIED - SPOUSE PRESENT,SOME COLLEGE BUT NO DEGREE
5788,20-30,female,30-40hr,Healthcare support occupations,MARRIED - SPOUSE PRESENT,SOME COLLEGE BUT NO DEGREE
5027,50-60,male,30-40hr,Management occupations,MARRIED - SPOUSE PRESENT,SOME COLLEGE BUT NO DEGREE
5512,50-60,male,Much hr,Management occupations,MARRIED - SPOUSE PRESENT,SOME COLLEGE BUT NO DEGREE
5813,20-30,male,30-40hr,Management occupations,MARRIED - SPOUSE PRESENT,SOME COLLEGE BUT NO DEGREE
5256,70-80,male,10-20hr,Management occupations,MARRIED - SPOUSE PRESENT,SOME COLLEGE BUT NO DEGREE
5420,50-60,male,40-50hr,Management occupations,MARRIED - SPOUSE PRESENT,SOME COLLEGE BUT NO DEGREE
5577,20-30,female,30-40hr,Office and administrative support occupations,MARRIED - SPOUSE PRESENT,SOME COLLEGE BUT NO DEGREE
5148,20-30,female,30-40hr,Office and administrative support occupations,MARRIED - SPOUSE PRESENT,SOME COLLEGE BUT NO DEGREE
5836,30-40,male,30-40hr,Office and administrative support occupations,MARRIED - SPOUSE PRESENT,SOME COLLEGE BUT NO DEGREE
5458,50-60,male,30-40hr,Office and administrative support occupations,MARRIED - SPOUSE PRESENT,SOME COLLEGE BUT NO DEGREE
5777,40-50,female,30-40hr,Office and administrative support occupations,MARRIED - SPOUSE PRESENT,SOME COLLEGE BUT NO DEGREE
5822,20-30,male,Much hr,Building and grounds cleaning and maintenance occupations,MARRIED - SPOUSE PRESENT,SOME COLLEGE BUT NO DEGREE
5052,40-50,female,30-40hr,Sales and related occupations,MARRIED - SPOUSE PRESENT,SOME COLLEGE BUT NO DEGREE
5058,40-50,male,Vary hr,Sales and related occupations,MARRIED - SPOUSE PRESENT,SOME COLLEGE BUT NO DEGREE
5478,20-30,female,20-30hr,Sales and related occupations,MARRIED - SPOUSE PRESENT,SOME COLLEGE BUT NO DEGREE
5333,30-40,male,30-40hr,Sales and related occupations,MARRIED - SPOUSE PRESENT,SOME COLLEGE BUT NO DEGREE
5306,50-60,female,30-40hr,Sales and related occupations,MARRIED - SPOUSE PRESENT,SOME COLLEGE BUT NO DEGREE
5991,50-60,male,40-50hr,Sales and related occupations,MARRIED - SPOUSE PRESENT,SOME COLLEGE BUT NO DEGREE
5421,50-60,female,30-40hr,Sales and related occupations,MARRIED - SPOUSE PRESENT,SOME COLLEGE BUT NO DEGREE
5590,40-50,male,30-40hr,"Installation, maintenance, and repair occupations",MARRIED - SPOUSE PRESENT,SOME COLLEGE BUT NO DEGREE
5730,30-40,male,30-40hr,"Installation, maintenance, and repair occupations",MARRIED - SPOUSE PRESENT,SOME COLLEGE BUT NO DEGREE
5529,30-40,male,30-40hr,Architecture and engineering occupations,MARRIED - SPOUSE PRESENT,SOME COLLEGE BUT NO DEGREE
5832,40-50,male,40-50hr,Architecture and engineering occupations,MARRIED - SPOUSE PRESENT,SOME COLLEGE BUT NO DEGREE
5799,70-80,female,10-20hr,Office and administrative support occupations,WIFE ISSUE,SOME COLLEGE BUT NO DEGREE
5980,60-70,female,Vary hr,Legal occupations,WIFE ISSUE,SOME COLLEGE BUT NO DEGREE
4972,30-40,male,40-50hr,Management occupations,NEVER MARRIED,SOME COLLEGE BUT NO DEGREE
5227,30-40,male,30-40hr,Management occupations,NEVER MARRIED,SOME COLLEGE BUT NO DEGREE
5255,40-50,male,30-40hr,Management occupations,NEVER MARRIED,SOME COLLEGE BUT NO DEGREE
5906,20-30,female,30-40hr,Office and administrative support occupations,NEVER MARRIED,SOME COLLEGE BUT NO DEGREE
5981,30-40,male,30-40hr,Office and administrative support occupations,NEVER MARRIED,SOME COLLEGE BUT NO DEGREE
4973,30-40,male,30-40hr,Office and administrative support occupations,NEVER MARRIED,SOME COLLEGE BUT NO DEGREE
5705,20-30,female,30-40hr,Office and administrative support occupations,NEVER MARRIED,SOME COLLEGE BUT NO DEGREE
5765,20-30,female,30-40hr,Office and administrative support occupations,NEVER MARRIED,SOME COLLEGE BUT NO DEGREE
5944,20-30,male,20-30hr,Food preparation and serving related occupations,NEVER MARRIED,SOME COLLEGE BUT NO DEGREE
5142,Teen,female,20-30hr,Food preparation and serving related occupations,NEVER MARRIED,SOME COLLEGE BUT NO DEGREE
5241,20-30,male,30-40hr,Food preparation and serving related occupations,NEVER MARRIED,SOME COLLEGE BUT NO DEGREE
5242,20-30,female,30-40hr,Food preparation and serving related occupations,NEVER MARRIED,SOME COLLEGE BUT NO DEGREE
5701,30-40,female,20-30hr,Food preparation and serving related occupations,NEVER MARRIED,SOME COLLEGE BUT NO DEGREE
6016,30-40,male,30-40hr,Food preparation and serving related occupations,NEVER MARRIED,SOME COLLEGE BUT NO DEGREE
5266,20-30,male,30-40hr,Business and financial operations occupations,NEVER MARRIED,SOME COLLEGE BUT NO DEGREE
5539,30-40,male,30-40hr,Sales and related occupations,NEVER MARRIED,SOME COLLEGE BUT NO DEGREE
5690,20-30,male,30-40hr,Construction and extraction occupations,NEVER MARRIED,SOME COLLEGE BUT NO DEGREE
5552,60-70,female,30-40hr,Building and grounds cleaning and maintenance occupations,WIFE ISSUE,SOME COLLEGE BUT NO DEGREE
5320,50-60,female,Much hr,Production occupations,WIFE ISSUE,SOME COLLEGE BUT NO DEGREE
5057,40-50,female,30-40hr,Healthcare practitioner and technical occupations,MARRIED - SPOUSE PRESENT,ASSOCIATE DEGREE-OCCUPATIONAL/VOCATIONAL
5814,30-40,female,30-40hr,Office and administrative support occupations,MARRIED - SPOUSE PRESENT,ASSOCIATE DEGREE-OCCUPATIONAL/VOCATIONAL
5078,50-60,female,30-40hr,Office and administrative support occupations,MARRIED - SPOUSE PRESENT,ASSOCIATE DEGREE-OCCUPATIONAL/VOCATIONAL
5696,30-40,male,40-50hr,Transportation and material moving occupations,MARRIED - SPOUSE PRESENT,ASSOCIATE DEGREE-OCCUPATIONAL/VOCATIONAL
5587,50-60,female,30-40hr,Business and financial operations occupations,MARRIED - SPOUSE PRESENT,ASSOCIATE DEGREE-OCCUPATIONAL/VOCATIONAL
5127,30-40,female,Little hr,Sales and related occupations,MARRIED - SPOUSE PRESENT,ASSOCIATE DEGREE-OCCUPATIONAL/VOCATIONAL
5528,60-70,male,30-40hr,Sales and related occupations,MARRIED - SPOUSE PRESENT,ASSOCIATE DEGREE-OCCUPATIONAL/VOCATIONAL
5140,40-50,male,30-40hr,Computer and mathematical science occupations,MARRIED - SPOUSE PRESENT,ASSOCIATE DEGREE-OCCUPATIONAL/VOCATIONAL
5171,40-50,male,30-40hr,Computer and mathematical science occupations,MARRIED - SPOUSE PRESENT,ASSOCIATE DEGREE-OCCUPATIONAL/VOCATIONAL
5175,50-60,male,30-40hr,Protective service occupations,MARRIED - SPOUSE PRESENT,ASSOCIATE DEGREE-OCCUPATIONAL/VOCATIONAL
5938,50-60,female,20-30hr,Healthcare practitioner and technical occupations,WIFE ISSUE,ASSOCIATE DEGREE-OCCUPATIONAL/VOCATIONAL
5224,50-60,female,30-40hr,Management occupations,WIFE ISSUE,ASSOCIATE DEGREE-OCCUPATIONAL/VOCATIONAL
5377,30-40,male,30-40hr,Management occupations,NEVER MARRIED,ASSOCIATE DEGREE-OCCUPATIONAL/VOCATIONAL
5287,30-40,female,40-50hr,Office and administrative support occupations,WIFE ISSUE,ASSOCIATE DEGREE-OCCUPATIONAL/VOCATIONAL
5000,50-60,female,10-20hr,Personal care and service occupations,MARRIED - SPOUSE PRESENT,HIGH SCHOOL GRAD-DIPLOMA OR EQUIV (GED)
5195,50-60,female,10-20hr,Personal care and service occupations,MARRIED - SPOUSE PRESENT,HIGH SCHOOL GRAD-DIPLOMA OR EQUIV (GED)
5757,20-30,female,30-40hr,Healthcare support occupations,MARRIED - SPOUSE PRESENT,HIGH SCHOOL GRAD-DIPLOMA OR EQUIV (GED)
5793,60-70,female,40-50hr,Management occupations,MARRIED - SPOUSE PRESENT,HIGH SCHOOL GRAD-DIPLOMA OR EQUIV (GED)
5586,50-60,male,30-40hr,Management occupations,MARRIED - SPOUSE PRESENT,HIGH SCHOOL GRAD-DIPLOMA OR EQUIV (GED)
4978,20-30,male,30-40hr,Management occupations,MARRIED - SPOUSE PRESENT,HIGH SCHOOL GRAD-DIPLOMA OR EQUIV (GED)
5758,30-40,male,30-40hr,Management occupations,MARRIED - SPOUSE PRESENT,HIGH SCHOOL GRAD-DIPLOMA OR EQUIV (GED)
5004,50-60,male,30-40hr,Management occupations,MARRIED - SPOUSE PRESENT,HIGH SCHOOL GRAD-DIPLOMA OR EQUIV (GED)
5735,20-30,female,30-40hr,Office and administrative support occupations,MARRIED - SPOUSE PRESENT,HIGH SCHOOL GRAD-DIPLOMA OR EQUIV (GED)
5501,60-70,female,30-40hr,Building and grounds cleaning and maintenance occupations,MARRIED - SPOUSE PRESENT,HIGH SCHOOL GRAD-DIPLOMA OR EQUIV (GED)
5079,60-70,male,30-40hr,Building and grounds cleaning and maintenance occupations,MARRIED - SPOUSE PRESENT,HIGH SCHOOL GRAD-DIPLOMA OR EQUIV (GED)
5228,30-40,female,30-40hr,"Arts, design, entertainment, sports, and media occupations",MARRIED - SPOUSE PRESENT,HIGH SCHOOL GRAD-DIPLOMA OR EQUIV (GED)
5975,40-50,male,30-40hr,Transportation and material moving occupations,MARRIED - SPOUSE PRESENT,HIGH SCHOOL GRAD-DIPLOMA OR EQUIV (GED)
5718,60-70,male,40-50hr,Transportation and material moving occupations,MARRIED - SPOUSE PRESENT,HIGH SCHOOL GRAD-DIPLOMA OR EQUIV (GED)
5782,30-40,female,30-40hr,Transportation and material moving occupations,MARRIED - SPOUSE PRESENT,HIGH SCHOOL GRAD-DIPLOMA OR EQUIV (GED)
5144,40-50,female,20-30hr,Community and social service occupations,MARRIED - SPOUSE PRESENT,HIGH SCHOOL GRAD-DIPLOMA OR EQUIV (GED)
5184,40-50,female,30-40hr,Food preparation and serving related occupations,MARRIED - SPOUSE PRESENT,HIGH SCHOOL GRAD-DIPLOMA OR EQUIV (GED)
5486,50-60,male,40-50hr,Business and financial operations occupations,MARRIED - SPOUSE PRESENT,HIGH SCHOOL GRAD-DIPLOMA OR EQUIV (GED)
5229,40-50,male,30-40hr,Production occupations,MARRIED - SPOUSE PRESENT,HIGH SCHOOL GRAD-DIPLOMA OR EQUIV (GED)
4977,Teen,female,30-40hr,Sales and related occupations,MARRIED - SPOUSE PRESENT,HIGH SCHOOL GRAD-DIPLOMA OR EQUIV (GED)
5615,40-50,male,30-40hr,Computer and mathematical science occupations,MARRIED - SPOUSE PRESENT,HIGH SCHOOL GRAD-DIPLOMA OR EQUIV (GED)
5550,50-60,male,40-50hr,"Installation, maintenance, and repair occupations",MARRIED - SPOUSE PRESENT,HIGH SCHOOL GRAD-DIPLOMA OR EQUIV (GED)
5734,30-40,male,30-40hr,"Installation, maintenance, and repair occupations",MARRIED - SPOUSE PRESENT,HIGH SCHOOL GRAD-DIPLOMA OR EQUIV (GED)
5616,30-40,female,30-40hr,Legal occupations,MARRIED - SPOUSE PRESENT,HIGH SCHOOL GRAD-DIPLOMA OR EQUIV (GED)
